option,,,,
Nombre de personnages morts dans l ensemble de la serie,,,,
Nombre de personnages morts lors de la premiere saison,,,,
La duree de la scene la plus longue,,,,
Le nombre de personnages qui passent plus de 30 minutes a l ecran sur l ensemble des saisons,,,,
